issue_category,layanan,subcategory,subject,requires_approval,support_level,support_type
Incident,SAP,LOGIN SAP,Password Expired,0,2,IT
Incident,SAP,LOGIN SAP,User Locked,0,2,IT
Incident,SAP,LOGIN SAP,SAP GUI Error,0,2,IT
Incident,SAP,AUTHORIZATION,Akses Ditolak pada Transaksi,0,2,IT
Incident,SAP,AUTHORIZATION,Authorization Error,0,2,IT
Incident,SAP,MASTER DATA,Data Tidak Ditemukan/ Tidak Muncul,0,2,IT
Incident,SAP,MASTER DATA,Data Tidak Sesuai,0,2,IT
Incident,SAP,REPORT,Report Tidak Muncul,0,2,IT
Incident,SAP,REPORT,Data Report Tidak Sesuai,0,2,IT
Incident,SAP,REPORT,Report Lambat,0,2,IT
Incident,SAP,INTEGRATION,Data Tidak Terkirim,0,2,IT
Incident,SAP,INTEGRATION,Data Tidak Sinkron,0,2,IT
Incident,SAP,INTEGRATION,Interface Error,0,2,IT
Incident,SAP,PRINTING,Gagal Print,0,2,IT
Incident,SAP,PRINTING,Output Tidak Muncul,0,2,IT
Incident,SAP,PRINTING,Format Output Salah,0,2,IT
Incident,SAP,PERFORMANCE,SAP Lambat,0,2,IT
Incident,SAP,PERFORMANCE,Timeout,0,2,IT
Incident,SAP,PERFORMANCE,Not Responding,0,2,IT
Incident,SAP,DATA,Data Duplikat,0,2,IT
Incident,SAP,DATA,Data Hilang,0,2,IT
Incident,SAP,DATA,Data Tidak Sinkron,0,2,IT
Incident,SAP,TRANSAKSI MM,Faulty PO Header Data,0,3,Tim IT
Incident,SAP,TRANSAKSI MM,Quantity & Value Exceeded,0,3,Tim IT
Incident,SAP,TRANSAKSI MM,Kode Material tidak sesuai kewenangan,0,3,Tim IT
Incident,SAP,TRANSAKSI MM,Release Strategy tidak sesuai,0,3,Tim IT
Incident,SAP,TRANSAKSI MM,Transaksi PR/ PO tidak terbaca saat penarikan / tidak bisa adopt transaksi,0,3,Tim IT
Incident,SAP,TRANSAKSI MM,Posting period is not open for variant,0,3,Tim IT
Incident,SAP,TRANSAKSI MM,Purchase Requisition Can't Be Released,0,3,Tim IT
Incident,SAP,TRANSAKSI MM,GI - Defisit Stock,0,3,Tim IT
Incident,SAP,TRANSAKSI PS,Budget Update (Revisi Budget berbeda dengan proses sebelumnya),0,3,Tim IT
Incident,SAP,TRANSAKSI PS,Budget Update (Budget Exceeded),0,3,Tim IT
Incident,SAP,TRANSAKSI PS,Report PS (Error Dump),0,3,Tim IT
Incident,SAP,TRANSAKSI PS,Error Approval Budget Original & Update,0,3,Tim IT
Incident,SAP,TRANSAKSI FICO,Maintain New GL Account to Financial Statement,0,2,IT
Incident,SAP,TRANSAKSI FICO,Maintain Reconcilliation Account for Vendor,0,2,IT
Incident,SAP,TRANSAKSI FICO,Maintain Reconcilliation Account for Customer,0,2,IT
Incident,SAP,TRANSAKSI FICO,"Balancing field ""Profit Center"" in line item 001 not filled",0,2,IT
Incident,SAP,TRANSAKSI FICO,Direct Fico saldo Asset,0,2,IT
Incident,SAP,TRANSAKSI FICO,Year end Closing preparation,0,2,IT
Incident,SAP,TRANSAKSI FICO,Maintain Account for Upload Jurnal,0,3,Tim IT
Incident,SAP,TRANSAKSI FICO,Maintain Account for Reclass Utang,0,3,Tim IT
Incident,SAP,TRANSAKSI FICO,Maintain Account for Report Budget Access,0,2,IT
Incident,ELISA,VENDOR MANAGEMENT,Tidak bisa release vendor,0,3,Tim IT
Incident,ELISA,VENDOR MANAGEMENT,Tidak bisa verifikasi vendor,0,3,Tim IT
Incident,ELISA,VENDOR MANAGEMENT,Business Field tidak sesuai dengan SAP (rilis vendor),0,3,Tim IT
Incident,ELISA,EPROCUREMENT,Reschedule jadwal tender,0,3,Tim IT
Incident,ELISA,CONTRACT MANAGEMENT,Tidak bisa submit kontrak,0,3,Tim IT
Incident,ADELE,Account & Profile Issues,User Session Belum Logout,0,2,IT
Incident,ADELE,Account & Profile Issues,Username tidak ditemukan,0,2,IT
Incident,ADELE,Account & Profile Issues,Unit Kerja Belum Update,0,2,IT
Incident,ARISE,Employee Self-Service (ESS) Features,Tidak bisa presensi,0,3,Tim IT
Incident,ARISE,Employee Self-Service (ESS) Features,Tidak bisa update CV,0,3,Tim IT
Incident,ERISKA,Risk Data & Reporting,Gagal Submit Data Risiko / Upload Eviden,0,1,
Incident,ERISKA,Risk Data & Reporting,Dashboard Risiko Tidak Sesuai,0,1,
Incident,ERISKA,Risk Data & Reporting,Gagal Export Risk Register,0,1,
Incident,MAILIA,Email Service & Operations,Tidak Bisa Login Email,0,2,IT
Incident,MAILIA,Email Service & Operations,Tidak Bisa Kirim Email,0,2,IT
Incident,MAILIA,Email Service & Operations,Tidak Bisa Terima Email,0,2,IT
Incident,MAILIA,Email Service & Operations,Email / Outlook Bermasalah,0,2,IT
Incident,MAILIA,Email Service & Operations,Attachment Bermasalah,0,2,IT
Incident,MAILIA,Email Service & Operations,Mailbox Penuh,0,2,IT
Incident,MAILIA,Email Service & Operations,Email Terblokir / Spam,0,2,IT
Incident,SINTA,Akses & Data Karyawan,Data profil tidak sesuai,0,3,Tim IT
Incident,SINTA,Akses & Data Karyawan,Slip gaji tidak bisa didownload,0,3,Tim IT
Incident,SINTA,Akses & Data Karyawan,Tidak bisa akses ke Aplikasi Internal,0,2,IT
Incident,CLOUDIA,Pengelolaan File & Sinkronisasi,Menu / tombol hilang,0,2,IT
Incident,CLOUDIA,Pengelolaan File & Sinkronisasi,Share link expired,0,2,IT
Incident,CLOUDIA,Pengelolaan File & Sinkronisasi,Kuota habis,0,1,
Incident,CLOUDIA,Pengelolaan File & Sinkronisasi,Gagal sinkronisasi pada desktop,0,2,IT
Incident,NETWORK,INTERNET,Tidak bisa akses internet,0,2,IT
Incident,NETWORK,INTERNET,Internet lambat,0,2,IT
Incident,NETWORK,INTERNET,Koneksi internet putus-putus,0,2,IT
Incident,NETWORK,WiFi,Tidak bisa terhubung WiFi,0,2,IT
